id,stateAbbrev,streetAddr1,streetAddr2,city,zip,zipExtended
965,DC,637 Old Shore Plaza,#988b,Juan de Acosta,89977,8999
966,PA,808 Forest Place,,Pribrezhnyy,79389,
967,DE,77 Scoville Junction,#899P,Noailles,89688,
968,DE,24783 Larry Plaza,,Mölnlycke,98989,
969,MI,942 Namekagon Junction,,Montenegro,87979,
970,NV,50726 Debs Avenue,,Gouxaria,98999,
971,NY,5159 Drewry Place,,San Fernando del Valle de Catamarca,79999,
972,IL,257 Grover Trail,,Vidin,86798,8979
973,NV,8853 Carey Center,,Cúcuta,89997,
974,MN,95 Lindbergh Terrace,,Karangduren Dua,69887,7995
975,GU,1 Randy Circle,,Costa Rica,76768,
976,AS,4 Meadow Ridge Place,,Hoolt,89897,6898
977,DC,739 Oak Pass,#789H,Muroran,89998,9778
978,KS,7 Corry Junction,,Volodarsk,69899,4868
979,WA,9 Golf Plaza,,Pskov,99999,
980,PA,271 Brickson Park Circle,,Kansas City,88998,9889
981,MO,7 Maple Hill,,Jiucaizhuang,99979,
982,VI,62425 Clyde Gallagher Trail,,Siquanpu,79598,8968
983,TN,1619 Pleasure Way,,Tambakmerak,47999,
984,TN,7 Graedel Center,,Rongelap,89787,
985,WI,89 Green Way,,Sukarama,99987,
986,MO,14 Crescent Oaks Junction,,Apt,66691,
987,MS,915 Lakewood Park,#898g,Kizema,78889,
988,MI,43915 Jana Court,,Bishan,85897,9989
989,PR,32099 Forster Terrace,,Campina Grande,78989,5889
990,TX,4 Anthes Junction,,Ibiá,97859,8898
991,MN,782 Cardinal Hill,,Oropesa,89959,4957
992,AR,29177 Cherokee Place,,Leigu,87987,
993,IA,28718 Sutherland Junction,#878D,Gręboszów,99999,9997
994,NH,672 Hazelcrest Pass,,Jinglou,89888,
995,IL,6824 Darwin Alley,,Jiaoqi,89999,
996,OR,98732 Laurel Pass,,Dukuhpicung,96884,9989
997,MT,8268 Loomis Plaza,,Marathon,99959,8899
998,IN,5 Atwood Avenue,,Altuf’yevskiy,99869,
999,KY,6107 Continental Court,,Łomża,79999,
1000,IL,36 Thackeray Circle,,Loandjili,99879,8898
